,rep1,rep2,rep3,rep4,rep5,sem
mobley_7200804~mobley_4494568,-6.380436,-5.455188,-7.264557,-6.496928,-6.770592,0.29666512554198216
mobley_2390199~mobley_36119,-3.903912,-3.153549,-3.341858,-1.863925,-4.637318,0.4586147918945266
mobley_1502181~mobley_819018,51.042911,51.167971,50.234061,51.359237,49.355924,0.37227085705604174
mobley_1674094~mobley_7983227,1.430256,2.425917,1.814281,1.333817,1.699261,0.19216957927715825
mobley_7497999~mobley_4715906,-92.866867,-75.598359,-110.007327,-84.574997,7.32022364681619,
mobley_5518547~mobley_7497999,30.888976,30.424574,30.323168,37.748852,23.550507,2.247126349487754
mobley_8573194~mobley_8525830,0.727114,0.622693,0.692869,0.792435,1.254958,0.11261632173952406
mobley_2859600~mobley_7988076,-35.005089,-35.095854,-35.124058,-34.992344,-34.787424,0.05909606418400439
mobley_3969312~mobley_1036761,-70.924925,-70.328822,-70.876125,-71.157583,-70.71963,0.1374272313404445
mobley_5759258~mobley_5123639,-9.547813,-9.565785,-9.12881,-9.603081,-9.386368,0.08762235890148133
mobley_2792521~mobley_9197172,-14.692734,-13.740573,-14.7311,-13.773882,-14.43423,0.2173261759242084
mobley_5627459~mobley_8260524,29.994538,29.855604,30.07307,29.5733,29.647086,0.0964768281597192
mobley_2143011~mobley_8337977,-33.682169,-32.846675,-33.631485,-33.723319,-33.302729,0.16529106923654419
mobley_4035953~mobley_2489709,14.220526,14.87396,15.656054,14.823613,15.206953,0.23645630151497335
mobley_8573194~mobley_7977115,-1.470829,-4.260627,-4.595889,-0.821957,-2.495856,0.7451617003806355
mobley_3682850~mobley_755351,-19.951975,-7.919554,-8.740334,-12.209022,-13.645312,2.1452702001888153
mobley_3414356~mobley_3738859,20.307017,19.884971,19.816484,20.933696,20.39061,0.20128017592962325
mobley_1827204~mobley_8573194,-0.355237,-1.058896,-1.065017,-0.791982,-0.777934,0.12944979287020897
mobley_8739734~mobley_4893032,-13.407331,-12.998241,-13.06232,-13.287444,-13.522313,0.09969025772531638
mobley_2929847~mobley_8573194,38.644018,38.481616,38.546725,38.621115,38.338654,0.054987359760767636
mobley_2609604~mobley_1139153,-0.806875,-1.371376,-1.531612,-1.197433,-2.755449,0.32866149087092633
mobley_8436428~mobley_900088,43.006968,43.426575,41.686828,45.204512,42.477108,0.5878387012703743
mobley_5311804~mobley_4553008,4.254077,-4.965391,-5.493085,-4.899528,-4.076259,1.8365717298948712
mobley_9015240~mobley_3318135,2.856732,,,,,
