,rep1,rep2,rep3,rep4,rep5,sem
mobley_5759258~mobley_3006808,40.436771,36.460758,39.526059,39.410931,35.634205,0.9431929056040652
mobley_627267~mobley_4043987,6.321566,5.861176,5.891876,6.023217,6.101801,0.08285504236279159
mobley_4762983~mobley_778352,22.442029,21.415872,23.236524,23.376436,22.057253,0.3664129261166152
mobley_1881249~mobley_7542832,16.086415,16.463468,16.145906,16.541686,16.746045,0.1238336074387723
mobley_8691603~mobley_5616693,-89.892067,-87.590959,-97.401704,-98.320766,-89.586303,2.2054548043325535
mobley_1650157~mobley_1792062,26.877448,27.376962,27.222863,28.030908,29.061453,0.3854017161222041
mobley_7599023~mobley_7009711,-40.415304,-41.046136,-41.714215,-42.388292,-42.529641,0.4004497429474267
mobley_2929847~mobley_4013838,76.906974,76.56683,76.30502,76.857755,76.220551,0.13940647442317777
mobley_900088~mobley_3546460,-42.124997,-39.549564,-38.600283,-38.011141,-37.505671,0.8158712508064245
mobley_3709920~mobley_2792521,8.123001,10.732726,7.975811,10.87997,8.225551,0.66252819884903
mobley_7015518~mobley_303222,17.833264,16.627897,17.715131,17.002873,17.150193,0.22509215184132889
mobley_1728386~mobley_5094777,52.537308,50.940536,51.456075,52.041509,52.160916,0.28155415808106987
mobley_7497999~mobley_7608462,1.302392,1.714625,1.331951,1.096218,0.724807,0.1617920958287518
mobley_6917738~mobley_5759258,-27.86948,-27.356296,-27.662942,-28.255705,-27.450216,0.16087852420332516
mobley_2609604~mobley_5157661,-9.354855,-9.391273,-9.273675,-9.33571,-9.788596,0.09193987484187685
mobley_9942801~mobley_2763835,-5.677201,-11.95721,-0.339044,-2.617372,-0.430439,2.1676902694226263
mobley_5973402~mobley_186894,4.766849,5.362876,5.37279,5.711246,3.92436,0.31496567783369667
mobley_4893032~mobley_9197172,-3.334134,-2.602315,-3.201361,-3.034185,-2.971605,0.12413618323277065
mobley_3259411~mobley_7455579,-31.965085,-32.024682,-32.703046,-32.878888,-32.6077,0.18545721868517362
mobley_8426916~mobley_5157661,15.401375,15.773496,15.344808,15.384223,15.202355,0.09476329966004755
mobley_2929847~mobley_4762983,48.05684,48.056905,48.091024,48.541701,48.313521,0.09533455302952928
mobley_3515580~mobley_8723116,-50.363242,-52.967056,-44.947434,-40.136328,-40.181556,2.6127392355809715
mobley_1019269~mobley_994483,0.869406,0.001239,0.390839,1.485616,-0.852708,0.3952875582829037
mobley_7106722~mobley_7455579,1.153488,1.029476,0.768978,0.96171,0.893658,0.0644776794898824
mobley_3982371~mobley_1792062,16.046841,16.530459,16.110999,17.926767,16.972454,0.34495938255742536
mobley_2864987~mobley_2068538,10.268281,12.402902,8.318289,9.830938,9.587106,0.6648275776889372
mobley_4759887~mobley_5449201,-1.398688,-0.693472,-0.489793,-0.361622,-0.833357,0.18018601676950405
mobley_7227357~mobley_7708038,0.848181,0.675838,0.200138,0.682844,0.783681,0.11414130346224365
mobley_2294995~mobley_8260524,25.094447,24.770176,25.759655,24.810328,25.92814,0.241331620482149
mobley_632905~mobley_397645,-28.084402,-27.349236,-25.19338,-27.99162,-23.502195,0.8978251173070178
mobley_7977115~mobley_8427539,-34.282698,-34.88632,-31.887127,-34.787776,-35.707382,0.6474623439348116
mobley_5518547~mobley_7463799,29.644558,31.532601,35.118166,31.678569,29.392857,1.0247741335321363
mobley_8467917~mobley_8765203,25.95578,25.477587,21.007299,25.217917,23.921199,0.8931681591210918
